,paper_id,author_id,author_name
179,5679,7958,Hossein Mobahi
180,5679,4580,Mauricio Araya
181,5679,7959,Tomaso A. Poggio
182,5680,7960,Vivien Seguy
183,5680,2992,Marco Cuturi
184,5681,7961,Lucas Maystre
185,5681,7962,Matthias Grossglauser
186,5682,7963,Dominik Rothenh?usler
187,5682,7964,Christina Heinze
188,5682,6586,Jonas Peters
189,5682,7965,Nicolai Meinshausen
190,5683,7966,Jacob Steinhardt
191,5683,3559,Percy S. Liang
192,5684,7967,Shuang Li
193,5684,7968,Yao Xie
194,5684,7969,Hanjun Dai
195,5684,3161,Le Song
196,5685,7438,Kacper P. Chwialkowski
197,5685,7970,Aaditya Ramdas
198,5685,5539,Dino Sejdinovic
199,5685,2650,Arthur Gretton
200,5686,7971,Hong Wang
201,5686,7972,Wei Xing
202,5686,7973,Kaiser Asif
203,5686,7447,Brian Ziebart
204,5687,7974,Micha?l Perrot
205,5687,7975,Amaury Habrard
206,5688,6684,Mahito Sugiyama
207,5688,6624,Karsten Borgwardt
208,5689,7976,Sergey Plis
209,5689,2318,David Danks
210,5689,7977,Cynthia Freeman
211,5689,7978,Vince Calhoun
212,5690,1252,Mark Herbster
213,5690,5364,Stephen Pasteris
214,5690,7979,Shaona Ghosh
215,5691,7980,Timothy Kopp
216,5691,7501,Parag Singla
217,5691,3212,Henry Kautz
218,5692,6583,Elias Bareinboim
219,5692,7981,Andrew Forney
220,5692,6333,Judea Pearl
221,5693,7982,Marin Kobilarov
222,5694,7983,Gheorghe Comanici
223,5694,1573,Doina Precup
224,5694,7984,Prakash Panangaden
225,5695,5417,Qiang Liu
226,5695,1965,John W. Fisher III
227,5695,5418,Alexander T. Ihler
228,5696,7235,Changyou Chen
229,5696,4524,Nan Ding
230,5696,3001,Lawrence Carin
231,5697,7985,Xiao Li
232,5697,7986,Kannan Ramchandran
233,5698,7668,Meisam Razaviyayn
234,5698,7987,Farzan Farnia
235,5698,7988,David Tse
236,5699,7989,Eugene Ndiaye
237,5699,7990,Olivier Fercoq
238,5699,4730,Alexandre Gramfort
239,5699,7307,Joseph Salmon
240,5700,7991,Wei Ping
241,5700,5417,Qiang Liu
242,5700,5418,Alexander T. Ihler
243,5701,7317,Kevin Scaman
244,5701,7992,R?mi Lemonnier
245,5701,3072,Nicolas Vayatis
246,5702,6310,Sida Wang
247,5702,7993,Arun Tejasvi Chaganty
248,5702,3559,Percy S. Liang
249,5703,5404,Eunho Yang
250,5703,3087,Aurelie C. Lozano
251,5704,7531,Alaa Saade
252,5704,6406,Florent Krzakala
253,5704,7994,Lenka Zdeborov?
254,5705,7995,Wooseok Ha
255,5705,7996,Rina Foygel Barber
256,5706,7997,Kai Wei
257,5706,6347,Rishabh K. Iyer
258,5706,7998,Shengjie Wang
259,5706,7999,Wenruo Bai
260,5706,2747,Jeff A. Bilmes
261,5707,8000,Chao Qu
262,5707,3387,Huan Xu
263,5708,8001,Yali Wan
264,5708,1285,Marina Meila
265,5709,8002,Naoto Ohsaka
266,5709,8003,Yuichi Yoshida
267,5710,4519,Ofer Meshi
268,5710,5623,Mehrdad Mahdavi
269,5710,5587,Alex Schwing
270,5711,8004,Reza Harikandeh
271,5711,8005,Mohamed Osama Ahmed
272,5711,8006,Alim Virani
273,5711,4137,Mark Schmidt
274,5711,8007,Jakub Kone?n?
275,5711,8008,Scott Sallinen
276,5712,7348,Rakesh Shivanna
277,5712,8009,Bibaswan K. Chatterjee
278,5712,8010,Raman Sankaran
279,5712,2108,Chiranjib Bhattacharyya
280,5712,6335,Francis Bach
281,5713,7127,Ilias Diakonikolas
282,5713,5305,Moritz Hardt
283,5713,8011,Ludwig Schmidt
284,5714,8012,Huitong Qiu
285,5714,5637,Fang Han
286,5714,3555,Han Liu
287,5714,8013,Brian Caffo
288,5715,8014,Kenji Kawaguchi
289,5715,6967,Leslie Pack Kaelbling
290,5715,1033,Tom?s Lozano-P?rez
291,5716,8015,Ahmed Alaoui
292,5716,4286,Michael W. Mahoney
293,5717,8016,Christopher M. De Sa
294,5717,6471,Ce Zhang
295,5717,3055,Kunle Olukotun
296,5717,7222,Christopher R?
297,5717,7222,Christopher R?
298,5718,3630,Elad Hazan
299,5718,7331,Kfir Levy
300,5718,6342,Shai Shalev-Shwartz
301,5719,4355,Andrea Montanari
302,5719,8017,Daniel Reichman
303,5719,7079,Ofer Zeitouni
304,5720,8018,Xinyang Yi
305,5720,4113,Constantine Caramanis
306,5721,8019,Jean-Bastien Grill
307,5721,7335,Michal Valko
308,5721,6446,Remi Munos
309,5721,6446,Remi Munos
310,5722,2628,Branislav Kveton
311,5722,6418,Zheng Wen
312,5722,8020,Azin Ashkan
313,5722,6449,Csaba Szepesvari
314,5723,8021,Tom Goldstein
315,5723,8022,Min Li
316,5723,8023,Xiaoming Yuan
317,5724,7432,Tengyu Ma
318,5724,8024,Avi Wigderson
319,5725,2724,Alina Beygelzimer
320,5725,3630,Elad Hazan
321,5725,3631,Satyen Kale
322,5725,7459,Haipeng Luo
323,5726,4931,Martin Slawski
324,5726,3294,Ping Li
325,5726,2732,Matthias Hein
326,5727,6349,Rafael Frongillo
327,5727,4953,Mark D. Reid
328,5728,8025,Huan Li
329,5728,3724,Zhouchen Lin
330,5729,8026,Kunal Talwar
331,5729,8027,Abhradeep Guha Thakurta
332,5729,8028,Li Zhang
333,5730,4876,Wouter M. Koolen
334,5730,7143,Alan Malek
335,5730,6348,Peter L. Bartlett
336,5730,6448,Yasin Abbasi
337,5731,8029,Yossi Arjevani
338,5731,3602,Ohad Shamir
339,5732,4682,Gergely Neu
340,5733,5638,Tuo Zhao
341,5733,7154,Zhaoran Wang
342,5733,3555,Han Liu
343,5734,8030,Xia Qu
344,5734,8031,Prashant Doshi
345,5735,8032,Cameron Musco
346,5735,8033,Christopher Musco
347,5736,8035,Sung-Soo Ahn
348,5736,8036,Sejun Park
349,5736,8037,Michael Chertkov
350,5736,6409,Jinwoo Shin
351,5737,8038,Qingqing Huang
352,5737,2572,Sham M. Kakade
353,5738,4931,Martin Slawski
354,5738,3294,Ping Li
355,5739,8039,CHRISTOS THRAMPOULIDIS
356,5739,8040,Ehsan Abbasi
357,5739,893,Babak Hassibi
358,5740,7140,Bharath Sriperumbudur
359,5740,8041,Zoltan Szabo
360,5741,7601,Jennifer A. Gillenwater
361,5741,6347,Rishabh K. Iyer
362,5741,8042,Bethany Lusch
363,5741,8043,Rahul Kidambi
364,5741,2747,Jeff A. Bilmes
365,5742,8044,Maksim Lapin
366,5742,2732,Matthias Hein
367,5742,6798,Bernt Schiele
368,5743,8045,Yuxin Chen
369,5743,7264,Emmanuel Candes
370,5744,8046,Alkis Gotovos
371,5744,8047,Hamed Hassani
372,5744,3758,Andreas Krause
373,5745,8439,Soroosh Shafieezadeh-Abadeh
374,5745,8440,Peyman Mohajerin Esfahani
375,5745,6677,Daniel Kuhn
376,5746,4768,Pranjal Awasthi
377,5746,8048,Andrej Risteski
378,5747,8049,Igor Colin
379,5747,8050,Aur?lien Bellet
380,5747,7307,Joseph Salmon
381,5747,8051,St?phan Cl?men?on
382,5748,8052,Adith Swaminathan
383,5748,2559,Thorsten Joachims
384,5749,8053,Fran?ois-Xavier Briol
385,5749,8054,Chris Oates
386,5749,2744,Mark Girolami
387,5749,7483,Michael A. Osborne
388,5750,6408,Murat A. Erdogdu
389,5751,8055,Xiangru Lian
390,5751,8056,Yijun Huang
391,5751,8057,Yuncheng Li
392,5751,4638,Ji Liu
393,5752,6553,Baharan Mirzasoleiman
394,5752,6295,Amin Karbasi
395,5752,8058,Ashwinkumar Badanidiyuru
396,5752,3758,Andreas Krause
397,5753,8059,Maren Mahsereci
398,5753,5163,Philipp Hennig
399,5754,7318,Mehrdad Farajtabar
400,5754,8060,Yichen Wang
401,5754,6268,Manuel Gomez Rodriguez
402,5754,7967,Shuang Li
403,5754,2173,Hongyuan Zha
404,5754,3161,Le Song
405,5755,8062,Ryan J. Giordano
406,5755,6457,Tamara Broderick
407,5755,6338,Michael I. Jordan
408,5756,3402,Mingjun Zhong
409,5756,7541,Nigel Goddard
410,5756,7542,Charles Sutton
411,5757,8016,Christopher M. De Sa
412,5757,6471,Ce Zhang
413,5757,3055,Kunle Olukotun
414,5757,7222,Christopher R?
415,5758,8063,Alp Kucukelbir
416,5758,8064,Rajesh Ranganath
417,5758,8065,Andrew Gelman
418,5758,6452,David Blei
419,5759,7488,Philip Bachman
420,5759,1573,Doina Precup
421,5760,8066,Yingzhen Li
422,5760,6612,Jos? Miguel Hern?ndez-Lobato
423,5760,7449,Richard E. Turner
424,5761,8067,Sixin Zhang
425,5761,8068,Anna E. Choromanska
426,5761,200,Yann LeCun
427,5762,521,Alon Orlitsky
428,5762,7152,Ananda Theertha Suresh
429,5763,8069,Vasilis Syrgkanis
430,5763,3606,Alekh Agarwal
431,5763,7459,Haipeng Luo
432,5763,710,Robert E. Schapire
433,5764,8070,Igor Mordatch
434,5764,8071,Kendall Lowrey
435,5764,8072,Galen Andrew
436,5764,4517,Zoran Popovic
437,5764,7862,Emanuel V. Todorov
438,5765,4733,Andrew G. Wilson
439,5765,8074,Christoph Dann
440,5765,4018,Chris Lucas
441,5765,6314,Eric P. Xing
442,5766,8075,Jamie H. Morgenstern
443,5766,6426,Tim Roughgarden
444,5767,8076,Yuanjun Gao
445,5767,8077,Lars Busing
446,5767,3125,Krishna V. Shenoy
447,5767,3605,John P. Cunningham
448,5768,8078,Jackson Gorham
449,5768,8079,Lester Mackey
450,5769,8080,Jonathan Vacher
451,5769,8081,Andrew Isaac Meso
452,5769,8082,Laurent U. Perrinet
453,5769,7165,Gabriel Peyr?
454,5770,4147,Piyush Rai
455,5770,8083,Changwei Hu
456,5770,4452,Ricardo Henao
457,5770,3001,Lawrence Carin
458,5771,5404,Eunho Yang
459,5771,3087,Aurelie C. Lozano
460,5771,6369,Pradeep K. Ravikumar
461,5772,8084,Felipe Tobar
462,5772,7448,Thang D. Bui
463,5772,7449,Richard E. Turner
464,5773,7566,Emily L. Denton
465,5773,8085,Soumith Chintala
466,5773,8086,arthur szlam
467,5773,2794,Rob Fergus
468,5774,7485,Jimmy SJ Ren
469,5774,7484,Li Xu
470,5774,8087,Qiong Yan
471,5774,8088,Wenxiu Sun
472,5775,7195,Kihyuk Sohn
473,5775,3292,Honglak Lee
474,5775,8089,Xinchen Yan
